disease,drug,se
Diabetes,Canagliflozin,Vulvovaginal mycotic infection
Diabetes,Canagliflozin,Vulvovaginal pruritus
Diabetes,Canagliflozin,Vulvovaginitis
Diabetes,Dapagliflozin,Anaphylactic shock
Diabetes,Dapagliflozin,Angina unstable
Diabetes,Dapagliflozin,Angioedema
Diabetes,Dapagliflozin,Autoimmune hepatitis
Diabetes,Dapagliflozin,Back pain
Diabetes,Dapagliflozin,Balanitis
Diabetes,Dapagliflozin,Balanitis candida
Diabetes,Dapagliflozin,Bladder cancer
Diabetes,Dapagliflozin,Blood creatinine increased
Diabetes,Dapagliflozin,Blood urea increased
Diabetes,Dapagliflozin,Carcinogenicity
Diabetes,Dapagliflozin,Cerebrovascular accident
Diabetes,Dapagliflozin,Change in blood pressure
Diabetes,Dapagliflozin,Connective tissue disorder
Diabetes,Dapagliflozin,Constipation
Diabetes,Dapagliflozin,Dehydration
Diabetes,Dapagliflozin,Diabetes mellitus
Diabetes,Dapagliflozin,Discomfort
Diabetes,Dapagliflozin,Diuresis
Diabetes,Dapagliflozin,Dizziness
Diabetes,Dapagliflozin,Drug-induced hepatitis
Diabetes,Dapagliflozin,Dyslipidaemia
Diabetes,Dapagliflozin,Dysuria
Diabetes,Dapagliflozin,Fracture
Diabetes,Dapagliflozin,Fungal infection
Diabetes,Dapagliflozin,Gastrointestinal disorder
Diabetes,Dapagliflozin,Genital candidiasis
Diabetes,Dapagliflozin,Genital infection fungal
Diabetes,Dapagliflozin,Genital infection male
Diabetes,Dapagliflozin,Haematocrit increased
Diabetes,Dapagliflozin,Headache
Diabetes,Dapagliflozin,Hyperhidrosis
Diabetes,Dapagliflozin,Hyperphosphataemia
Diabetes,Dapagliflozin,Hypersensitivity
Diabetes,Dapagliflozin,Hypertension
Diabetes,Dapagliflozin,Hypoglycaemia
Diabetes,Dapagliflozin,Hypoglycemic reaction
Diabetes,Dapagliflozin,Hypotension
Diabetes,Dapagliflozin,Hypovolaemia
Diabetes,Dapagliflozin,Infestation NOS
Diabetes,Dapagliflozin,Influenza
Diabetes,Dapagliflozin,Malnutrition
Diabetes,Dapagliflozin,Myocardial infarction
Diabetes,Dapagliflozin,Nasopharyngitis
Diabetes,Dapagliflozin,Nausea
Diabetes,Dapagliflozin,Neoplasm
Diabetes,Dapagliflozin,Neoplasm malignant
Diabetes,Dapagliflozin,Neoplasm prostate
Diabetes,Dapagliflozin,Nocturia
Diabetes,Dapagliflozin,Orthostatic hypotension
Diabetes,Dapagliflozin,Osteopenia
Diabetes,Dapagliflozin,Pain in extremity
Diabetes,Dapagliflozin,Penile infection
Diabetes,Dapagliflozin,Pollakiuria
Diabetes,Dapagliflozin,Polyuria
Diabetes,Dapagliflozin,Rash
Diabetes,Dapagliflozin,Recurrent infection
Diabetes,Dapagliflozin,Renal failure
Diabetes,Dapagliflozin,Serum creatinine increased
Diabetes,Dapagliflozin,Thirst
Diabetes,Dapagliflozin,Unspecified disorder of skin and subcutaneous tissue
Diabetes,Dapagliflozin,Urinary tract disorder
Diabetes,Dapagliflozin,Urinary tract infection
Diabetes,Dapagliflozin,Urine output increased
Diabetes,Dapagliflozin,Urticaria
Diabetes,Dapagliflozin,Vaginal infection
Diabetes,Dapagliflozin,Vaginitis bacterial
Diabetes,Dapagliflozin,Vulval abscess
Diabetes,Dapagliflozin,Vulvitis
Diabetes,Dapagliflozin,Vulvovaginal candidiasis
Diabetes,Dapagliflozin,Vulvovaginal mycotic infection
Diabetes,Dapagliflozin,Vulvovaginal pruritus
Diabetes,Dapagliflozin,Vulvovaginitis
Diabetes,Empagliflozin,Angiopathy
Diabetes,Empagliflozin,Arthralgia
Diabetes,Empagliflozin,Asymptomatic bacteriuria
Diabetes,Empagliflozin,Balanitis
Diabetes,Empagliflozin,Blood pressure systolic decreased
Diabetes,Empagliflozin,Cystitis
Diabetes,Empagliflozin,Dehydration
Diabetes,Empagliflozin,Diabetes mellitus
Diabetes,Empagliflozin,Diabetic nephropathy
Diabetes,Empagliflozin,Diuresis
Diabetes,Empagliflozin,Dyslipidaemia
Diabetes,Empagliflozin,Dysuria
Diabetes,Empagliflozin,Fungal infection
Diabetes,Empagliflozin,Genital infection
Diabetes,Empagliflozin,Genital infection fungal
Diabetes,Empagliflozin,Haematocrit decreased
Diabetes,Empagliflozin,Haematocrit increased
Diabetes,Empagliflozin,Hypotension
Diabetes,Empagliflozin,Hypovolaemia
Diabetes,Empagliflozin,Infection
Diabetes,Empagliflozin,Infestation NOS
Diabetes,Empagliflozin,Malnutrition
Diabetes,Empagliflozin,Nausea
Diabetes,Empagliflozin,Neuropathy
Diabetes,Empagliflozin,Nocturia
Diabetes,Empagliflozin,Orthostatic hypotension
Diabetes,Empagliflozin,Pollakiuria
Diabetes,Empagliflozin,Polydipsia
Diabetes,Empagliflozin,Polyuria
Diabetes,Empagliflozin,Pruritus
Diabetes,Empagliflozin,Retinal disorder
Diabetes,Empagliflozin,Serum creatinine increased
Diabetes,Empagliflozin,Syncope
Diabetes,Empagliflozin,Thirst
Diabetes,Empagliflozin,Tight foreskin
Diabetes,Empagliflozin,Upper respiratory tract infection
Diabetes,Empagliflozin,Urinary tract disorder
Diabetes,Empagliflozin,Urinary tract infection
Diabetes,Empagliflozin,Vaginal infection
Diabetes,Empagliflozin,Vaginal moniliasis
Diabetes,Empagliflozin,Vulvitis
Diabetes,Empagliflozin,Vulvovaginal candidiasis
Diabetes,Empagliflozin,Vulvovaginitis
Thyroid,Levothyroxine,Cerebral artery embolism
Thyroid,Levothyroxine,Disorientation
Thyroid,Levothyroxine,Fluid loss
Thyroid,Levothyroxine,Heat intolerance
Thyroid,Levothyroxine,Increased appetite
Thyroid,Levothyroxine,Mood swings
Thyroid,Levothyroxine,Sweating increased
Thyroid,Liothyronine,Angina pectoris
Thyroid,Liothyronine,Arrhythmia
Thyroid,Liothyronine,Body temperature increased
Thyroid,Liothyronine,Cardiac failure congestive
Thyroid,Liothyronine,Cardio-respiratory arrest
Thyroid,Liothyronine,Hypertension
Thyroid,Liothyronine,Hypotension
Thyroid,Liothyronine,Muscle twitching
Thyroid,Liothyronine,Myocardial infarction
Thyroid,Liothyronine,Phlebitis
Thyroid,Liothyronine,Tachycardia
Thyroid,Propylthiouracil,Ageusia
Thyroid,Propylthiouracil,Agranulocytosis
Thyroid,Propylthiouracil,Allergic cutaneous angiitis
Thyroid,Propylthiouracil,Alopecia
Thyroid,Propylthiouracil,Antineutrophil cytoplasmic antibody positive
Thyroid,Propylthiouracil,Aplastic anaemia
Thyroid,Propylthiouracil,Arthralgia
Thyroid,Propylthiouracil,Body temperature increased
Thyroid,Propylthiouracil,Dermatitis exfoliative
Thyroid,Propylthiouracil,Drowsiness
Thyroid,Propylthiouracil,Drug fever
Thyroid,Propylthiouracil,Dysgeusia
Thyroid,Propylthiouracil,Epigastric distress
Thyroid,Propylthiouracil,Erythema nodosum
Thyroid,Propylthiouracil,Glomerulonephritis
Thyroid,Propylthiouracil,Glomerulonephritis rapidly progressive
Thyroid,Propylthiouracil,Haemorrhage
Thyroid,Propylthiouracil,Headache
Thyroid,Propylthiouracil,Hepatic failure
Thyroid,Propylthiouracil,Hepatitis
Thyroid,Propylthiouracil,Interstitial pneumonia
Thyroid,Propylthiouracil,Jaundice
Thyroid,Propylthiouracil,Leukocytoclastic vasculitis
Thyroid,Propylthiouracil,Leukopenia
Thyroid,Propylthiouracil,Liver injury
Thyroid,Propylthiouracil,Lung infiltration
Thyroid,Propylthiouracil,Lupus-like syndrome
Thyroid,Propylthiouracil,Lymphadenopathy
Thyroid,Propylthiouracil,Myalgia
Thyroid,Propylthiouracil,Nausea
Thyroid,Propylthiouracil,Nephritis
Thyroid,Propylthiouracil,Neuritis
Thyroid,Propylthiouracil,Oedema
Thyroid,Propylthiouracil,Paraesthesia
Thyroid,Propylthiouracil,Pigmentation skin
Thyroid,Propylthiouracil,Pruritus
Thyroid,Propylthiouracil,Rash
Thyroid,Propylthiouracil,Renal failure acute
Thyroid,Propylthiouracil,Skin ulcer
Thyroid,Propylthiouracil,Splenomegaly
Thyroid,Propylthiouracil,Thrombocytopenia
Thyroid,Propylthiouracil,Urticaria
Thyroid,Propylthiouracil,Vasculitis
Thyroid,Propylthiouracil,Vertigo
Thyroid,Propylthiouracil,Vomiting
Thyroid,Methimazole,Drug fever
Thyroid,Methimazole,Epigastric distress
Thyroid,Methimazole,Hypoglycaemic coma
Thyroid,Methimazole,Insulin autoimmune syndrome
Thyroid,Methimazole,Lupus-like syndrome
HIV/AIDS,Emtricitabine (FTC),Abdominal pain
HIV/AIDS,Emtricitabine (FTC),Abnormal dreams
HIV/AIDS,Emtricitabine (FTC),Alanine aminotransferase increased
HIV/AIDS,Emtricitabine (FTC),Amylase increased
HIV/AIDS,Emtricitabine (FTC),Anaemia
HIV/AIDS,Emtricitabine (FTC),Angioedema
HIV/AIDS,Emtricitabine (FTC),Anogenital warts
HIV/AIDS,Emtricitabine (FTC),Anxiety
HIV/AIDS,Emtricitabine (FTC),Arthralgia
HIV/AIDS,Emtricitabine (FTC),Asthenia
HIV/AIDS,Emtricitabine (FTC),Autoimmune disorder
HIV/AIDS,Emtricitabine (FTC),Back pain
HIV/AIDS,Emtricitabine (FTC),Basedow's disease
HIV/AIDS,Emtricitabine (FTC),Blood and lymphatic system disorders
HIV/AIDS,Emtricitabine (FTC),Blood creatinine increased
HIV/AIDS,Emtricitabine (FTC),Body temperature increased
HIV/AIDS,Emtricitabine (FTC),Bone pain
HIV/AIDS,Emtricitabine (FTC),Breast disorder
HIV/AIDS,Emtricitabine (FTC),Buffalo hump
HIV/AIDS,Emtricitabine (FTC),Connective tissue disorder
HIV/AIDS,Emtricitabine (FTC),Cough increased
HIV/AIDS,Emtricitabine (FTC),Creatine phosphokinase increased
HIV/AIDS,Emtricitabine (FTC),Creatinine increased
HIV/AIDS,Emtricitabine (FTC),Depression
HIV/AIDS,Emtricitabine (FTC),Depressive disorder
HIV/AIDS,Emtricitabine (FTC),Diarrhoea
HIV/AIDS,Emtricitabine (FTC),Dizziness
HIV/AIDS,Emtricitabine (FTC),Dyspepsia
HIV/AIDS,Emtricitabine (FTC),Dyspnoea
HIV/AIDS,Emtricitabine (FTC),Exfoliative rash
HIV/AIDS,Emtricitabine (FTC),Fanconi syndrome
HIV/AIDS,Emtricitabine (FTC),Fasting
HIV/AIDS,Emtricitabine (FTC),Fatigue
HIV/AIDS,Emtricitabine (FTC),Fracture
HIV/AIDS,Emtricitabine (FTC),Function kidney decreased
HIV/AIDS,Emtricitabine (FTC),Gastroenteritis
HIV/AIDS,Emtricitabine (FTC),Gastrointestinal disorder
HIV/AIDS,Emtricitabine (FTC),Genital ulceration
HIV/AIDS,Emtricitabine (FTC),Glucose low
HIV/AIDS,Emtricitabine (FTC),Glycosuria
HIV/AIDS,Emtricitabine (FTC),Haematuria
HIV/AIDS,Emtricitabine (FTC),Haemoglobin decreased
HIV/AIDS,Emtricitabine (FTC),Headache
HIV/AIDS,Emtricitabine (FTC),Hepatic steatosis
HIV/AIDS,Emtricitabine (FTC),Hepatitis
HIV/AIDS,Emtricitabine (FTC),Hepatitis B
HIV/AIDS,Emtricitabine (FTC),Hepatobiliary disease
HIV/AIDS,Emtricitabine (FTC),Hepatomegaly
HIV/AIDS,Emtricitabine (FTC),Hyperbilirubinaemia
HIV/AIDS,Emtricitabine (FTC),Hypercholesterolaemia
HIV/AIDS,Emtricitabine (FTC),Hyperglycaemia
HIV/AIDS,Emtricitabine (FTC),Hyperlactacidaemia
HIV/AIDS,Emtricitabine (FTC),Hypersensitivity
HIV/AIDS,Emtricitabine (FTC),Hypertriglyceridaemia
HIV/AIDS,Emtricitabine (FTC),Hypertrophy of breast
HIV/AIDS,Emtricitabine (FTC),Hypokalaemia
HIV/AIDS,Emtricitabine (FTC),Hypophosphataemia
HIV/AIDS,Emtricitabine (FTC),Immune system disorder
HIV/AIDS,Emtricitabine (FTC),Infection
HIV/AIDS,Emtricitabine (FTC),Infection mixed
HIV/AIDS,Emtricitabine (FTC),Infestation NOS
HIV/AIDS,Emtricitabine (FTC),Inflammation
HIV/AIDS,Emtricitabine (FTC),Insomnia
HIV/AIDS,Emtricitabine (FTC),Insulin resistance
HIV/AIDS,Emtricitabine (FTC),Lactic acidosis
HIV/AIDS,Emtricitabine (FTC),Lipase increased
HIV/AIDS,Emtricitabine (FTC),Lipodystrophy
HIV/AIDS,Emtricitabine (FTC),Malnutrition
HIV/AIDS,Emtricitabine (FTC),Mediastinal disorder
HIV/AIDS,Emtricitabine (FTC),Mental disorder
HIV/AIDS,Emtricitabine (FTC),Muscular weakness
HIV/AIDS,Emtricitabine (FTC),Myalgia
HIV/AIDS,Emtricitabine (FTC),Myopathy
HIV/AIDS,Emtricitabine (FTC),Nasopharyngitis
HIV/AIDS,Emtricitabine (FTC),Nausea
HIV/AIDS,Emtricitabine (FTC),Nephritis interstitial
HIV/AIDS,Emtricitabine (FTC),Nephrogenic diabetes insipidus
HIV/AIDS,Emtricitabine (FTC),Nephrosis lower nephron
HIV/AIDS,Emtricitabine (FTC),Nervous system disorder
HIV/AIDS,Emtricitabine (FTC),Neuritis
HIV/AIDS,Emtricitabine (FTC),Neuropathy
HIV/AIDS,Emtricitabine (FTC),Neuropathy peripheral
HIV/AIDS,Emtricitabine (FTC),Neutropenia
HIV/AIDS,Emtricitabine (FTC),Opportunistic infection
HIV/AIDS,Emtricitabine (FTC),Osteomalacia
HIV/AIDS,Emtricitabine (FTC),Osteonecrosis
HIV/AIDS,Emtricitabine (FTC),Otitis media
HIV/AIDS,Emtricitabine (FTC),Pain
HIV/AIDS,Emtricitabine (FTC),Pancreatitis
HIV/AIDS,Emtricitabine (FTC),Paraesthesia
HIV/AIDS,Emtricitabine (FTC),Pharyngitis
HIV/AIDS,Emtricitabine (FTC),Pneumonia
HIV/AIDS,Emtricitabine (FTC),Polyuria
HIV/AIDS,Emtricitabine (FTC),Proteinuria
HIV/AIDS,Emtricitabine (FTC),Prurigo
HIV/AIDS,Emtricitabine (FTC),Pruritus
HIV/AIDS,Emtricitabine (FTC),Rash
HIV/AIDS,Emtricitabine (FTC),Rash generalised
HIV/AIDS,Emtricitabine (FTC),Rash macular
HIV/AIDS,Emtricitabine (FTC),Rash maculo-papular
HIV/AIDS,Emtricitabine (FTC),Rash pustular
HIV/AIDS,Emtricitabine (FTC),Rash vesicular
HIV/AIDS,Emtricitabine (FTC),Renal failure
HIV/AIDS,Emtricitabine (FTC),Renal failure acute
HIV/AIDS,Emtricitabine (FTC),Renal impairment
HIV/AIDS,Emtricitabine (FTC),Rhabdomyolysis
HIV/AIDS,Emtricitabine (FTC),Rhinitis
HIV/AIDS,Emtricitabine (FTC),Secondary syphilis
HIV/AIDS,Emtricitabine (FTC),Sinusitis
HIV/AIDS,Emtricitabine (FTC),Skin discolouration
HIV/AIDS,Emtricitabine (FTC),Skin hyperpigmentation
HIV/AIDS,Emtricitabine (FTC),Syphilis
HIV/AIDS,Emtricitabine (FTC),Thrombocytopenia
HIV/AIDS,Emtricitabine (FTC),Unspecified disorder of skin and subcutaneous tissue
HIV/AIDS,Emtricitabine (FTC),Upper respiratory tract infection
HIV/AIDS,Emtricitabine (FTC),Urethritis
HIV/AIDS,Emtricitabine (FTC),Urinary tract disorder
HIV/AIDS,Emtricitabine (FTC),Urinary tract infection
HIV/AIDS,Emtricitabine (FTC),Urticaria
HIV/AIDS,Emtricitabine (FTC),Vesiculobullous rash
HIV/AIDS,Emtricitabine (FTC),Vomiting
HIV/AIDS,Emtricitabine (FTC),Weight decreased
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Abdominal pain upper
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Abnormal dreams
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Acute interstitial nephritis
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Amylase increased
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Buffalo hump
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Exfoliative rash
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Hyperlactacidaemia
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Infestation NOS
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Procedural pain
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Rash generalised
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Rash macular
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Rash vesicular
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Serum creatinine increased
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Symptomatic hyperlactatemia
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Transaminases increased
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Unspecified disorder of skin and subcutaneous tissue
HIV/AIDS,Tenofovir disoproxil fumarate (TDF),Vesiculobullous rash
HIV/AIDS,Zidovudine,Abdominal cramps
HIV/AIDS,Zidovudine,Abdominal pain
HIV/AIDS,Zidovudine,Acidosis
HIV/AIDS,Zidovudine,Acne
HIV/AIDS,Zidovudine,Acquired immunodeficiency syndrome
HIV/AIDS,Zidovudine,Agranulocytosis
HIV/AIDS,Zidovudine,Amblyopia
HIV/AIDS,Zidovudine,Anaemia
HIV/AIDS,Zidovudine,Anaphylactic shock
HIV/AIDS,Zidovudine,Angioedema
HIV/AIDS,Zidovudine,Anorexia
HIV/AIDS,Zidovudine,Anxiety
HIV/AIDS,Zidovudine,Aplasia pure red cell
HIV/AIDS,Zidovudine,Aplastic anaemia
HIV/AIDS,Zidovudine,Arthralgia
HIV/AIDS,Zidovudine,Aspartate aminotransferase increased
HIV/AIDS,Zidovudine,Asthenia
HIV/AIDS,Zidovudine,Auricular swelling
HIV/AIDS,Zidovudine,Back pain
HIV/AIDS,Zidovudine,Bacteraemia
HIV/AIDS,Zidovudine,Blood and lymphatic system disorders
HIV/AIDS,Zidovudine,Body odor
HIV/AIDS,Zidovudine,Body temperature increased
HIV/AIDS,Zidovudine,Bone marrow depression
HIV/AIDS,Zidovudine,Breast disorder
HIV/AIDS,Zidovudine,Breath sounds abnormal
HIV/AIDS,Zidovudine,Cardiac disorder
HIV/AIDS,Zidovudine,Cardiac failure congestive
HIV/AIDS,Zidovudine,Cardiomyopathy
HIV/AIDS,Zidovudine,Chest pain
HIV/AIDS,Zidovudine,Chills
HIV/AIDS,Zidovudine,Confusional state
HIV/AIDS,Zidovudine,Congenital anomaly
HIV/AIDS,Zidovudine,Connective tissue disorder
HIV/AIDS,Zidovudine,Constipation
HIV/AIDS,Zidovudine,Convulsion
HIV/AIDS,Zidovudine,Cough
HIV/AIDS,Zidovudine,Cystitis
HIV/AIDS,Zidovudine,Diarrhoea
HIV/AIDS,Zidovudine,Dizziness
HIV/AIDS,Zidovudine,Drug interaction
HIV/AIDS,Zidovudine,Dysgeusia
HIV/AIDS,Zidovudine,Dyspepsia
HIV/AIDS,Zidovudine,Dysphagia
HIV/AIDS,Zidovudine,Dyspnoea
HIV/AIDS,Zidovudine,Dysuria
HIV/AIDS,Zidovudine,Epistaxis
HIV/AIDS,Zidovudine,Eructation
HIV/AIDS,Zidovudine,Erythema
HIV/AIDS,Zidovudine,Fat redistribution
HIV/AIDS,Zidovudine,Fatigue
HIV/AIDS,Zidovudine,Flatulence
HIV/AIDS,Zidovudine,Gastrointestinal disorder
HIV/AIDS,Zidovudine,Gastrointestinal pain
HIV/AIDS,Zidovudine,Generalised oedema
HIV/AIDS,Zidovudine,Generalized aching
HIV/AIDS,Zidovudine,Gingival bleeding
HIV/AIDS,Zidovudine,Gynaecomastia
HIV/AIDS,Zidovudine,Haematuria
HIV/AIDS,Zidovudine,Haemolytic anaemia
HIV/AIDS,Zidovudine,Headache
HIV/AIDS,Zidovudine,Hearing impaired
HIV/AIDS,Zidovudine,Hepatitis
HIV/AIDS,Zidovudine,Hepatitis C
HIV/AIDS,Zidovudine,Hepatobiliary disease
HIV/AIDS,Zidovudine,Hepatomegaly
HIV/AIDS,Zidovudine,Hoarseness
HIV/AIDS,Zidovudine,Hyperbilirubinaemia
HIV/AIDS,Zidovudine,Hyperlactacidaemia
HIV/AIDS,Zidovudine,Hyperpathia
HIV/AIDS,Zidovudine,Hyporeflexia
HIV/AIDS,Zidovudine,Hypoxemia
HIV/AIDS,Zidovudine,Influenza
HIV/AIDS,Zidovudine,Insomnia
HIV/AIDS,Zidovudine,Irritability
HIV/AIDS,Zidovudine,Jaundice
HIV/AIDS,Zidovudine,Lactic acidosis
HIV/AIDS,Zidovudine,Lactic dehydrogenase activity increased
HIV/AIDS,Zidovudine,Leukopenia
HIV/AIDS,Zidovudine,Liver disorder
HIV/AIDS,Zidovudine,Local reaction
HIV/AIDS,Zidovudine,Lymphadenopathy
HIV/AIDS,Zidovudine,Macular oedema
HIV/AIDS,Zidovudine,Malaise
HIV/AIDS,Zidovudine,Malnutrition
HIV/AIDS,Zidovudine,Mania
HIV/AIDS,Zidovudine,Mediastinal disorder
HIV/AIDS,Zidovudine,Mental disorder
HIV/AIDS,Zidovudine,Mood swings
HIV/AIDS,Zidovudine,Mouth ulceration
HIV/AIDS,Zidovudine,Mucosal pigmentation
HIV/AIDS,Zidovudine,Muscle spasms
HIV/AIDS,Zidovudine,Muscle twitching
HIV/AIDS,Zidovudine,Musculoskeletal pain
HIV/AIDS,Zidovudine,Myalgia
HIV/AIDS,Zidovudine,Myopathy
HIV/AIDS,Zidovudine,Myositis
HIV/AIDS,Zidovudine,Nail pigmentation
HIV/AIDS,Zidovudine,Nausea
HIV/AIDS,Zidovudine,Nervous system disorder
HIV/AIDS,Zidovudine,Nervousness
HIV/AIDS,Zidovudine,Neuropathy
HIV/AIDS,Zidovudine,Neuropathy peripheral
HIV/AIDS,Zidovudine,Neutropenia
HIV/AIDS,Zidovudine,Night sweats
HIV/AIDS,Zidovudine,Oedema
HIV/AIDS,Zidovudine,Oedema auricular
HIV/AIDS,Zidovudine,Pain
HIV/AIDS,Zidovudine,Pancreatitis
HIV/AIDS,Zidovudine,Pancytopenia
HIV/AIDS,Zidovudine,Paraesthesia
HIV/AIDS,Zidovudine,Pharyngitis
HIV/AIDS,Zidovudine,Phlebitis
HIV/AIDS,Zidovudine,Photophobia
HIV/AIDS,Zidovudine,Pigmentation skin
HIV/AIDS,Zidovudine,Pollakiuria
HIV/AIDS,Zidovudine,Polyuria
HIV/AIDS,Zidovudine,Pruritus
HIV/AIDS,Zidovudine,Rash
HIV/AIDS,Zidovudine,Rash erythematous
HIV/AIDS,Zidovudine,Rash follicular
HIV/AIDS,Zidovudine,Rash maculo-papular
HIV/AIDS,Zidovudine,Rectal haemorrhage
HIV/AIDS,Zidovudine,Red cell aplasia
HIV/AIDS,Zidovudine,Rhabdomyolysis
HIV/AIDS,Zidovudine,Rhinitis
HIV/AIDS,Zidovudine,Rhinorrhoea
HIV/AIDS,Zidovudine,Rigors
HIV/AIDS,Zidovudine,Sensitisation
HIV/AIDS,Zidovudine,Sickness
HIV/AIDS,Zidovudine,Sinusitis
HIV/AIDS,Zidovudine,Skin discolouration
HIV/AIDS,Zidovudine,Somnolence
HIV/AIDS,Zidovudine,Splenomegaly
HIV/AIDS,Zidovudine,Stevens-Johnson syndrome
HIV/AIDS,Zidovudine,Stomatitis
HIV/AIDS,Zidovudine,Sweating
HIV/AIDS,Zidovudine,Sweating increased
HIV/AIDS,Zidovudine,Swollen tongue
HIV/AIDS,Zidovudine,Syncope
HIV/AIDS,Zidovudine,Thrombocytopenia
HIV/AIDS,Zidovudine,Tongue oedema
HIV/AIDS,Zidovudine,Toxic epidermal necrolysis
HIV/AIDS,Zidovudine,Tremor
HIV/AIDS,Zidovudine,Unspecified disorder of skin and subcutaneous tissue
HIV/AIDS,Zidovudine,Urinary hesitation
HIV/AIDS,Zidovudine,Urinary tract disorder
HIV/AIDS,Zidovudine,Urticaria
HIV/AIDS,Zidovudine,Vasculitis
HIV/AIDS,Zidovudine,Vasodilation
HIV/AIDS,Zidovudine,Vertigo
HIV/AIDS,Zidovudine,Vomiting
HIV/AIDS,Zidovudine,Weight decreased
HIV/AIDS,Zidovudine,Wheezing
HIV/AIDS,Stavudine,Abdominal pain
HIV/AIDS,Stavudine,Abnormal dreams
HIV/AIDS,Stavudine,Accidental injury
HIV/AIDS,Stavudine,Acne
HIV/AIDS,Stavudine,Anaemia
HIV/AIDS,Stavudine,Anorexia
HIV/AIDS,Stavudine,Anxiety
HIV/AIDS,Stavudine,Arthralgia
HIV/AIDS,Stavudine,Asthenia
HIV/AIDS,Stavudine,Asymptomatic hyperlactatemia
HIV/AIDS,Stavudine,Autoimmune disorder
HIV/AIDS,Stavudine,Back pain
HIV/AIDS,Stavudine,Basedow's disease
HIV/AIDS,Stavudine,Blood and lymphatic system disorders
HIV/AIDS,Stavudine,Blood disorder
HIV/AIDS,Stavudine,Body temperature increased
HIV/AIDS,Stavudine,Bronchitis
HIV/AIDS,Stavudine,Buffalo hump
HIV/AIDS,Stavudine,Calculus of kidney
HIV/AIDS,Stavudine,Chills
HIV/AIDS,Stavudine,Conjunctivitis
HIV/AIDS,Stavudine,Connective tissue disorder
HIV/AIDS,Stavudine,Constipation
HIV/AIDS,Stavudine,Cough increased
HIV/AIDS,Stavudine,Depression
HIV/AIDS,Stavudine,Diabetes mellitus
HIV/AIDS,Stavudine,Diarrhoea
HIV/AIDS,Stavudine,Dizziness
HIV/AIDS,Stavudine,Dry mouth
HIV/AIDS,Stavudine,Dry skin
HIV/AIDS,Stavudine,Dysgeusia
HIV/AIDS,Stavudine,Dyspepsia
HIV/AIDS,Stavudine,Dysuria
HIV/AIDS,Stavudine,Endocrine disorder
HIV/AIDS,Stavudine,Eructation
HIV/AIDS,Stavudine,Fat redistribution
HIV/AIDS,Stavudine,Fatigue
HIV/AIDS,Stavudine,Flatulence
HIV/AIDS,Stavudine,Fungal infection
HIV/AIDS,Stavudine,Gastrointestinal disorder
HIV/AIDS,Stavudine,Guillain-Barre syndrome
HIV/AIDS,Stavudine,Gynaecomastia
HIV/AIDS,Stavudine,Haematuria
HIV/AIDS,Stavudine,Haemoglobin decreased
HIV/AIDS,Stavudine,Headache
HIV/AIDS,Stavudine,Hepatic failure
HIV/AIDS,Stavudine,Hepatic function abnormal
HIV/AIDS,Stavudine,Hepatic steatosis
HIV/AIDS,Stavudine,Hepatitis
HIV/AIDS,Stavudine,Hepatitis B
HIV/AIDS,Stavudine,Hepatobiliary disease
HIV/AIDS,Stavudine,Hepatomegaly
HIV/AIDS,Stavudine,Hepatotoxicity
HIV/AIDS,Stavudine,Hyperbilirubinaemia
HIV/AIDS,Stavudine,Hypercholesterolaemia
HIV/AIDS,Stavudine,Hyperglycaemia
HIV/AIDS,Stavudine,Hyperlactacidaemia
HIV/AIDS,Stavudine,Hypersensitivity
HIV/AIDS,Stavudine,Hypertriglyceridaemia
HIV/AIDS,Stavudine,Hypertrophy of breast
HIV/AIDS,Stavudine,Inflammation
HIV/AIDS,Stavudine,Influenza
HIV/AIDS,Stavudine,Insomnia
HIV/AIDS,Stavudine,Insulin resistance
HIV/AIDS,Stavudine,Jaundice
HIV/AIDS,Stavudine,Lactic acidosis
HIV/AIDS,Stavudine,Lactic acidosis syndrome
HIV/AIDS,Stavudine,Leukopenia
HIV/AIDS,Stavudine,Lipoatrophy
HIV/AIDS,Stavudine,Lipodystrophy
HIV/AIDS,Stavudine,Liver disorder
HIV/AIDS,Stavudine,Lung disorder
HIV/AIDS,Stavudine,Malnutrition
HIV/AIDS,Stavudine,Mental disorder
HIV/AIDS,Stavudine,Metabolic disorder
HIV/AIDS,Stavudine,Mitochondrial toxicity
HIV/AIDS,Stavudine,Mood swings
